site_id,lat,lon,address,district,sector,containers,container_liters,capacity_liters,area_type,daily_fill_rate_pct,fill_pct,last_service_day,source_real
SITE-0178,51.161373,71.443039,"ул. Жәнібек Тархан көшесі, 1/7, район Жастар",Жастар,Жастар,3,660,1980,multistorey,33.3974,7.378,0,False
SITE-0179,51.185657,71.445552,"ул. улица Жанажол, 19А, район Жастар",Жастар,Жастар,2,1100,2200,mixed,21.8774,37.2569,-1,False
SITE-0180,51.193863,71.460524,"ул. переулок Ырыс, 14, район Жастар",Жастар,Жастар,1,660,660,mixed,36.4425,42.6028,-1,False
SITE-0181,51.179051,71.445182,"ул. переулок Култегин, 37А, район Жастар",Жастар,Жастар,6,1100,6600,mixed,11.7816,12.1717,-1,False
SITE-0182,51.19902,71.454282,"ул. улица Жасыл, 28А, район Жастар",Жастар,Жастар,2,240,480,mixed,35.3636,19.1912,0,False
SITE-0183,51.165741,71.437687,"ул. Шоқан Уәлиханов көшесі, 9/2, район Жастар",Жастар,Жастар,3,660,1980,multistorey,21.2688,75.6719,-3,False
SITE-0184,51.166778,71.445751,"ул. улица Мухамед-Хайдара Дулати, 98, район Жастар",Жастар,Жастар,4,1100,4400,mixed,13.7262,31.0678,-2,False
SITE-0185,51.154036,71.444733,"ул. улица Таха Хусейна, 2, район Жастар",Жастар,Жастар,3,660,1980,mixed,15.8916,52.854,-3,False
SITE-0186,51.202454,71.455846,"ул. улица Камысты, 7, район Жастар",Жастар,Жастар,1,660,660,mixed,44.6492,71.0186,-1,False
SITE-0187,51.200799,71.460999,"ул. улица Жолымбет, 10, район Жастар",Жастар,Жастар,3,1100,3300,mixed,15.9642,57.1574,-3,False
SITE-0188,51.177684,71.441575,"ул. улица Михаила Лермонтова, 27, район Жастар",Жастар,Жастар,5,1100,5500,mixed,11.0898,9.043,0,False
SITE-0189,51.162963,71.43523,"ул. Шолпан Иманбаева көшесі, 7В, район Жастар",Жастар,Жастар,5,1100,5500,multistorey,20.2946,50.0668,-2,False
SITE-0190,51.171076,71.43683,"ул. Жақып Омаров көшесі, 10, район Жастар",Жастар,Жастар,6,120,720,multistorey,62.1381,18.4149,0,False
SITE-0191,51.175816,71.44864,"ул. улица Карагандинская, 127, район Жастар",Жастар,Жастар,2,660,1320,mixed,24.9243,2.5678,0,False
SITE-0192,51.202305,71.460416,"ул. улица Жолымбет, 10, район Жастар",Жастар,Жастар,5,1100,5500,mixed,10.6656,4.4034,0,False
SITE-0193,51.177524,71.450343,"ул. тупик Льва Толстого, 4, район Жастар",Жастар,Жастар,5,660,3300,mixed,15.9087,21.0007,-1,False
SITE-0194,51.168196,71.442234,"ул. улица Луи Пастера, 97, район Жастар",Жастар,Жастар,5,1100,5500,mixed,14.9789,17.8664,-1,False
SITE-0195,51.162385,71.44274,"ул. Ғұмар Қараш көшесі, 91, район Жастар",Жастар,Жастар,6,240,1440,mixed,29.3277,7.0496,0,False
SITE-0196,51.177111,71.445825,"ул. Әліби Жангелдин көшесі, 48/6, район Жастар",Жастар,Жастар,2,240,480,mixed,42.6169,4.8697,0,False
SITE-0197,51.166225,71.441416,"ул. улица Мухамед-Хайдара Дулати, 76, район Жастар",Жастар,Жастар,2,1100,2200,mixed,21.0711,57.7533,-2,False
SITE-0198,51.178144,71.445479,"ул. улица Ануара Алимжанова, 75, район Жастар",Жастар,Жастар,2,240,480,mixed,49.9032,17.9538,0,False
SITE-0199,51.174482,71.453917,"ул. улица Алмукан Сембинов, 21, район Жастар",Жастар,Жастар,3,660,1980,private,10.6492,30.5943,-2,False
SITE-0200,51.19991,71.462745,"ул. улица Чехоева, 5, район Жастар",Жастар,Жастар,1,1100,1100,mixed,29.9116,29.3973,0,False
SITE-0201,51.201242,71.457235,"ул. улица Камысты, 7, район Жастар",Жастар,Жастар,6,1100,6600,mixed,15.7065,48.5788,-3,False
SITE-0202,51.169596,71.451435,"ул. Абай даңғылы, 66, район Жастар",Жастар,Жастар,5,660,3300,private,7.094,62.7179,-3,False
SITE-0203,51.161762,71.437001,"ул. Шолпан Иманбаева көшесі, 8А, район Жастар",Жастар,Жастар,1,660,660,multistorey,34.9857,15.6801,0,False
SITE-0204,51.163914,71.438218,"ул. Амангелді Иманов көшесі, 18Д, район Жастар",Жастар,Жастар,2,240,480,multistorey,95.0,80.9443,0,False
SITE-0205,51.1995,71.460368,"ул. улица Жолымбет, 10, район Жастар",Жастар,Жастар,4,660,2640,mixed,22.0464,51.0232,-2,False
SITE-0206,51.172273,71.440819,"ул. Тараз көшесі, 16/1, район Жастар",Жастар,Жастар,4,240,960,multistorey,50.9637,63.9158,-1,False
SITE-0207,51.176066,71.451336,"ул. улица Льва Толстого, 22Б, район Жастар",Жастар,Жастар,6,660,3960,mixed,13.2712,2.1061,0,False
SITE-0208,51.180065,71.446694,"ул. переулок Култегин, 48, район Жастар",Жастар,Жастар,3,660,1980,mixed,21.9521,20.7453,0,False
SITE-0209,51.202674,71.457651,"ул. улица Камысты, 7, район Жастар",Жастар,Жастар,3,1100,3300,mixed,14.1532,13.0135,0,False
SITE-0210,51.163903,71.446408,"ул. переулок Гастелло, 23, район Жастар",Жастар,Жастар,4,660,2640,mixed,19.8465,37.318,-1,False
SITE-0211,51.171014,71.443373,"ул. Асан Қайғы көшесі, 84, район Жастар",Жастар,Жастар,6,1100,6600,mixed,11.5145,84.341,-3,False
SITE-0212,51.16855,71.451987,"ул. Абай даңғылы, 66/2, район Жастар",Жастар,Жастар,5,1100,5500,mixed,10.4342,70.7511,-3,False
SITE-0213,51.162198,71.435452,"ул. Шолпан Иманбаева көшесі, 7А, район Жастар",Жастар,Жастар,3,1100,3300,multistorey,30.0433,40.3926,-1,False
SITE-0214,51.162416,71.447224,"ул. переулок Гастелло, 3, район Жастар",Жастар,Жастар,5,1100,5500,mixed,12.3185,72.3381,-3,False
SITE-0215,51.165424,71.441501,"ул. Баянауыл көшесі, 87, район Жастар",Жастар,Жастар,1,1100,1100,mixed,30.1371,81.7603,-2,False
SITE-0216,51.17304,71.445392,"ул. улица Сырдария, 39, район Жастар",Жастар,Жастар,3,240,720,mixed,50.9936,64.3382,-1,False
SITE-0217,51.17528,71.442274,"ул. Асан Қайғы көшесі, 132, район Жастар",Жастар,Жастар,4,1100,4400,mixed,10.3335,49.228,-3,False
SITE-0218,51.197705,71.452798,"ул. улица Жасыл, район Жастар",Жастар,Жастар,6,240,1440,mixed,33.7744,21.6765,0,False
SITE-0219,51.162619,71.444885,"ул. Ғұмар Қараш көшесі, 94, район Жастар",Жастар,Жастар,3,1100,3300,multistorey,27.8942,17.9515,0,False
SITE-0220,51.162322,71.438699,"ул. Шолпан Иманбаева көшесі, 8/3, район Жастар",Жастар,Жастар,5,240,1200,multistorey,41.3906,43.4143,-1,False
SITE-0221,51.178127,71.443857,"ул. переулок Култегин, 30, район Жастар",Жастар,Жастар,1,1100,1100,mixed,28.631,74.4936,-2,False
SITE-0222,51.15727,71.445582,"ул. Балкашинский переулок, 3, район Жастар",Жастар,Жастар,1,660,660,mixed,33.5982,7.213,0,False
SITE-0223,51.167686,71.444387,"ул. Кенесары көшесі, 67/5, район Жастар",Жастар,Жастар,5,660,3300,mixed,16.5492,39.4912,-2,False
SITE-0224,51.161581,71.43525,"ул. Шолпан Иманбаева көшесі, 7, район Жастар",Жастар,Жастар,4,660,2640,multistorey,26.6394,23.6425,0,False
SITE-0225,51.179643,71.449165,"ул. улица Жиенкулова, 13/1, район Жастар",Жастар,Жастар,1,240,240,mixed,40.0283,27.7882,0,False
SITE-0226,51.176999,71.444882,"ул. Әліби Жангелдин көшесі, 48/2, район Жастар",Жастар,Жастар,6,240,1440,mixed,19.8557,4.9652,0,False
SITE-0227,51.176744,71.449186,"ул. улица Льва Толстого, 14, район Жастар",Жастар,Жастар,3,660,1980,mixed,18.5475,56.2742,-3,False
SITE-0228,51.198156,71.462556,"ул. улица Чехоева, 18/1, район Жастар",Жастар,Жастар,5,1100,5500,mixed,11.5907,81.7071,-3,False
SITE-0229,51.163,71.441195,"ул. улица Агыбай батыра, 88, район Жастар",Жастар,Жастар,3,1100,3300,mixed,18.1429,41.7608,-2,False
SITE-0230,51.166568,71.44775,"ул. улица Элимхана Сембинова, 5/1, район Жастар",Жастар,Жастар,5,1100,5500,mixed,14.9822,64.4318,-3,False
SITE-0231,51.160711,71.436721,"ул. Шолпан Иманбаева көшесі, 2, район Жастар",Жастар,Жастар,1,240,240,multistorey,95.0,79.3033,0,False
SITE-0232,51.173946,71.441465,"ул. улица Енгелик-Кебек, 26, район Жастар",Жастар,Жастар,6,240,1440,mixed,24.1053,78.8679,-3,False
SITE-0233,51.162164,71.443874,"ул. Тараз көшесі, 2/3, район Жастар",Жастар,Жастар,2,240,480,multistorey,49.825,59.3423,-1,False
SITE-0234,51.169219,71.442314,"ул. Отырар көшесі, 15, район Жастар",Жастар,Жастар,6,240,1440,mixed,28.0446,1.9797,0,False
SITE-0235,51.176348,71.450467,"ул. улица Льва Толстого, 18, район Жастар",Жастар,Жастар,5,1100,5500,mixed,12.3985,55.1575,-3,False
SITE-0236,51.202503,71.45904,"ул. улица Камысты, 7, район Жастар",Жастар,Жастар,1,1100,1100,mixed,33.1335,23.2467,0,False
SITE-0237,51.174661,71.451201,"ул. переулок Култобе, 11, район Жастар",Жастар,Жастар,1,240,240,mixed,50.6736,15.1476,0,False
SITE-0238,51.168651,71.445992,"ул. улица Луи Пастера, 115, район Жастар",Жастар,Жастар,1,120,120,mixed,95.0,56.6185,0,False
SITE-0239,51.173048,71.448513,"ул. Жақып Омаров көшесі, 190, район Жастар",Жастар,Жастар,5,1100,5500,mixed,15.7139,48.2593,-3,False
SITE-0240,51.176271,71.446181,"ул. улица Ануара Алимжанова, 61, район Жастар",Жастар,Жастар,4,240,960,mixed,41.5437,5.2356,0,False
SITE-0241,51.165604,71.434461,"ул. Кенесары көшесі, 42, район Жастар",Жастар,Жастар,5,660,3300,multistorey,24.4114,23.7852,0,False
SITE-0242,51.171571,71.448733,"ул. переулок Култобе, 1/2, район Жастар",Жастар,Жастар,3,1100,3300,mixed,30.8828,65.3239,-2,False
SITE-0243,51.173201,71.453945,"ул. улица Алмукан Сембинов, 22, район Жастар",Жастар,Жастар,3,660,1980,mixed,19.1497,61.4494,-3,False
SITE-0244,51.167978,71.450205,"ул. улица Алмукан Сембинов, 8/2, район Жастар",Жастар,Жастар,4,660,2640,mixed,16.635,27.8666,-1,False
SITE-0245,51.17471,71.44491,"ул. улица Сырдария, 58, район Жастар",Жастар,Жастар,5,1100,5500,mixed,14.6996,52.7783,-3,False
SITE-0246,51.1765,71.440848,"ул. Әліби Жангелдин көшесі, 44/4, район Жастар",Жастар,Жастар,6,660,3960,mixed,10.4478,24.6763,-2,False
SITE-0247,51.175999,71.444523,"ул. улица Сырдария, 61, район Жастар",Жастар,Жастар,1,1100,1100,mixed,26.883,67.5773,-2,False
SITE-0248,51.201054,71.455234,"ул. улица Камысты, 7, район Жастар",Жастар,Жастар,3,660,1980,mixed,25.1878,54.6317,-2,False
SITE-0249,51.165362,71.448291,"ул. Училищный переулок, 7, район Жастар",Жастар,Жастар,4,1100,4400,mixed,13.8535,62.2471,-3,False
SITE-0250,51.163815,71.434983,"ул. Амангелді Иманов көшесі, 11, район Жастар",Жастар,Жастар,4,1100,4400,multistorey,13.5148,24.081,-1,False
